ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
A,1983,0
AAL,983,33
AAOI,1835,33
AAON,86,1
AAP,1988,9
AAPL,2008,29
AAU,0,0
AAWW,2002,33
ABB,0,0
ABBV,1493,26
ABC,1821,32
ABEV,0,0
ABG,2008,4
ABIO,0,0
ABM,1981,0
ABMD,0,0
ABT,1999,31
ACAD,0,0
ACCO,2003,30
ACH,0,0
ACHC,2003,32
ACIW,2002,33
ACLS,430,10
ACM,1998,33
ACN,0,0
ACOR,1997,23
ACRX,691,21
ACST,0,0
ACTG,477,0
ACU,1992,33
ADBE,1964,0
ADES,597,17
ADI,1987,0
ADM,1999,33
ADMA,1743,32
ADMP,1143,3
ADP,1806,33
ADSK,1366,0
ADTN,8,7
ADUS,1413,23
AE,341,19
AEE,1995,29
AEHR,1617,0
AEIS,663,12
AEM,2001,11
AEO,528,0
AEP,2006,33
AERI,1509,0
AES,1997,32
AEY,1440,0
AEZS,0,0
AG,441,4
AGCO,1996,33
AGEN,692,24
AGI,1546,4
AGIO,0,8
AGRO,1552,2
AGRX,1779,14
AGTC,449,0
AGX,0,0
AGYS,0,33
AHPI,612,1
AIM,652,16
AIMC,2004,33
AIN,1997,33
AIR,1854,0
AIRI,1993,29
AIRT,1595,32
AIT,1986,33
AJRD,1351,24
AKAM,1995,11
AKBA,581,3
AL,1997,33
ALB,2002,33
ALCO,1995,33
ALDX,738,2
ALE,2001,33
ALG,1996,33
ALGN,1,0
ALGT,1996,33
ALIM,1415,32
ALK,1998,33
ALKS,2002,31
ALLE,1938,29
ALLT,0,0
ALNY,692,8
ALOT,1280,0
ALR,1081,31
AMAT,1990,0
AMBA,0,0
AMC,1478,33
AMCX,1510,33
AMD,1273,22
AME,1998,19
AMED,1952,32
AMGN,1999,30
AMKR,2001,33
AMN,2001,26
AMOT,1992,32
AMPE,954,0
AMPH,1685,33
AMRC,2002,33
AMRK,1962,10
AMRN,114,1
AMRS,43,33
AMSC,217,12
AMSWA,0,0
AMTX,81,31
AMWD,1143,0
AMX,0,0
AMZN,2006,33
AN,2012,33
ANDE,1996,33
ANET,76,0
ANF,1980,0
ANGI,1281,30
ANGO,1386,0
ANIK,200,2
ANIP,1861,18
ANSS,566,10
ANY,1474,8
AOS,1666,32
AOSL,911,32
AP,1574,25
APA,1558,31
APD,2007,33
APDN,628,10
APEI,162,1
APH,1998,33
APOG,1309,0
APPS,1693,19
APT,0,0
APWC,0,0
AR,1997,23
ARAY,1981,24
ARC,1998,33
ARCB,1996,33
ARCO,0,0
ARCT,741,0
ARDX,985,4
ARKR,1994,7
ARLP,1996,33
ARMK,1995,33
ARTNA,1996,33
ARTW,1954,0
ARW,2004,31
ARWR,44,18
ASC,1559,2
ASGN,1995,24
ASH,2001,26
ASM,1550,2
ASMB,0,0
ASML,0,0
ASPN,126,18
ASR,0,0
ASTC,398,3
ASTE,63,31
ASTI,267,18
ASUR,1929,20
ASX,0,0
ASYS,752,29
ATEC,1364,30
ATEN,0,0
ATHM,0,0
ATHX,0,0
ATI,2000,33
ATNI,1261,30
ATNM,82,9
ATO,1998,23
ATOS,0,0
ATR,2000,33
ATRC,1489,33
ATRI,0,0
ATRO,1999,33
ATRS,1177,0
ATSG,1999,33
ATVI,1999,19
AU,0,0
AUDC,436,3
AUMN,1529,0
AUY,1559,4
AVA,1996,33
AVAV,257,0
AVD,1887,33
AVEO,1456,24
AVGO,1975,0
AVNW,1674,0
AVT,1996,33
AVY,2002,33
AWH,1206,27
AWI,2005,33
AWK,1998,33
AWR,1999,33
AWRE,0,0
AWX,1813,33
AXDX,457,13
AXGN,1170,24
AXON,0,7
AXTI,32,1
AXU,0,0
AYI,1940,0
AZN,0,0
AZO,0,0
AZPN,984,7
AZZ,1874,0
B,2005,33
BA,1065,33
BAH,2003,31
BAK,0,0
BAX,2004,26
BBBY,1953,0
BBGI,2001,33
BBSI,512,25
BBW,186,0
BBY,1977,0
